,Participant,Comparison Hertz,3s-pre-ready,2s-pre-ready,1s-pre-ready,0th-time,at-ready,1s-post-ready,2s-post-ready,at-standard,1s-post-standard,2s-post-standard,3s-post-standard,at-comparison,1s-post-comparison,2s-post-comp,3s-post-comp,at-response,1s-post-response,2s-post-response,3s-post-response,4s-post-response,Response (Correct/Incorrect),Baseline
11_3,11,820,3.606159507248171,3.5011869908221978,3.4986066088358405,,3.670666017475636,3.6605421951953776,3.5727685784302543,3.5242384032386154,3.6157982657433627,3.616096179799873,3.6164997011102447,3.616700016050891,3.617736226576789,3.453799138729995,3.427042544910177,3.4256156439604992,3.426297381808656,3.4287166907264957,3.3060142752873793,3.4100801729471004,Correct,3.5536732490351843
12_1,12,820,5.455952029512111,5.371944573688048,5.397710990279507,,5.3445365696365945,5.3151086874989515,5.302752710296659,5.459500100783456,5.529721248178119,5.534371203565962,5.404943548322944,5.388876339252053,5.541558485576253,5.609977262658358,5.569833814136205,5.608372912884075,5.654107581440648,5.596385562470948,5.111430930897973,5.2791081842629435,Correct,5.41394830160008
12_2,12,820,3.812486271289595,4.326168852739363,4.629645614428849,,7.097050781840866,4.459768023750149,3.97288623163945,5.703140710432554,5.3061259895832045,5.44632401913791,5.546079173832628,5.8473749869807845,6.3359508386792545,6.335518673425142,5.973149414917857,6.170523066864373,5.928071726360043,6.362809221919107,6.483488521470584,5.916995308284515,Correct,4.069327562014479
12_3,12,820,4.302410493697789,4.650902709058107,4.888643572255804,,5.008196897608456,5.149446050591975,4.598392460447915,4.031654837691939,4.715328247717985,5.003402506008915,4.651991722343925,4.297794247082533,5.048368546137863,5.542912567137184,5.703853330989189,5.708315677530829,5.798136510870219,6.039204676306308,5.991886071630391,5.797466072758978,Correct,4.4766566013779485
13_1,13,820,2.438149776804944,2.326638117682975,2.349427973895301,,2.361075291609095,2.444774715789471,2.311511754741463,2.2380993358552415,2.2019929911082317,2.2126153748831072,2.24902971534316,2.2731943684187494,2.3873904191214463,2.3017318701381067,2.2494063740055976,2.3157716951797025,2.338541816644549,2.4278219770210407,2.366866446583131,2.3439076042000635,Correct,2.3823939472439593
13_2,13,820,2.5284431495086626,2.3741825604915787,2.4180665932229792,,2.370173686959727,2.394215805048535,2.3356012583667924,2.2888053056794413,2.2829555791328042,2.321974714716233,2.3131081203733737,2.355747173947994,2.21887083852507,2.318260778610396,2.3129367481309275,2.304907340230505,2.305688356759733,2.418593758716093,2.504324495730651,2.4855387370697133,Correct,2.4513128550001206
13_3,13,820,2.2655303516180263,2.321195130247412,2.277347535592612,,2.273890299860975,2.254298183858941,2.1168320265180305,1.8953506894391001,2.0756037539841525,2.302483729309492,2.234848357370866,2.1391319162436733,2.2344474552341715,1.9612435297386404,1.6857231677816042,1.5650619051756844,1.6825227965517366,1.8599337766473591,1.8435814668758024,1.9143834047073653,Correct,2.293362740932719
14_1,14,820,,,,4.0961048449684165,4.161447775671397,4.17014525943715,4.2535362591433765,4.142962866204267,4.113239366772745,4.228463496145607,4.229146005836569,4.265993980659474,4.276140393377861,4.255262007397067,4.181273173804817,4.197725881299296,4.265683263104073,4.082606532158659,4.0313483221413895,4.099808393105202,Correct,4.0961048449684165
14_2,14,820,3.103647153080879,3.0931113486271933,3.1563346825054883,,3.0603086227926894,3.02881696755518,3.1022129764437776,2.9601787630567094,3.046760963499439,3.0277445970452312,2.854886426111919,2.7622025547821156,2.8371117709292615,2.9825487974518725,3.033336788975602,2.887610009689556,2.871682261125579,2.912312885182225,2.8275996884757704,2.9322035740296806,Correct,3.098379250854036
14_3,14,820,3.744882737728904,3.849086921531085,3.928867736458882,,3.512811818984515,3.768567005235938,3.718023175666597,3.811572861543824,3.8102425851564767,3.874238627507884,3.8670802135878857,3.921222660964263,3.866922229256578,3.799655921778045,3.8592788383144896,3.897287299211628,3.949488780670244,3.3921930969457588,3.3998871920233684,3.6385369686849103,Correct,3.796984829629994
16_1,16,820,3.420543850651796,4.168783530157702,3.641708499934206,,3.5915262786470152,4.113132065737682,4.405161076980874,3.5908163515818585,3.786361561189216,3.762518970024675,3.825055445025656,3.864573839100014,4.384821570029261,4.4208682277881515,4.436493131513989,4.425293057983664,4.416663317575861,4.562461786122771,4.580821798634783,4.551455296165655,Correct,3.7946636904047493
16_2,16,820,2.952672829324662,2.9385135660776855,2.937863366401497,,2.987217015276182,2.9975217343013942,2.987845522897648,2.9148100314824097,2.926088488574442,3.0177216260227175,3.0230706323861405,3.062431676739484,3.025722147917776,3.06222217151354,3.0884187445424143,3.094986968165653,3.0815420807021625,2.829262707507767,2.8065955692879028,2.9698656420435467,Correct,2.945593197701174
