,Participant,Comparison Hertz,3s-pre-ready,2s-pre-ready,1s-pre-ready,0th-time,at-ready,1s-post-ready,2s-post-ready,at-standard,1s-post-standard,2s-post-standard,3s-post-standard,at-comparison,1s-post-comparison,2s-post-comp,3s-post-comp,at-response,1s-post-response,2s-post-response,3s-post-response,4s-post-response,Response (Correct/Incorrect),Baseline
4_2,4,838,2.3087909923438,2.3787049057182585,2.531611324539223,,2.536541891698345,2.536614596861134,2.53651827112673,2.5571613991011946,2.149097392471615,2.169280322206166,2.1696598544621635,2.169829443348252,2.177917400614256,2.0184016667027382,2.3243377753764904,2.463013824427265,2.5387990514504586,2.5601944915743067,2.579087518841084,2.6216085496960915,Correct,2.3437479490310293
4_3,4,838,2.9514513194975973,2.9860950264175363,2.936610929771145,,2.798505620624545,2.711761028335733,2.711466354708426,2.740804801195584,2.623318730069398,2.39549267115858,2.588358573102006,2.6527064509939744,2.575178694452149,2.717327576596604,2.6560361746837766,2.697617220946387,2.6427286000527066,2.6983941818931387,2.9382964155148406,3.007996941487046,Correct,2.968773172957567
4_4,4,838,,,,3.2331861684824803,3.242815969342789,3.2900815697407673,3.268925145295528,2.6808375765680243,2.613564974319019,2.699306032568705,2.8395443662343998,2.8445975268480335,2.740481694856456,2.560342732579298,2.552424411909648,2.52770099270352,2.246254548646398,1.9931268944903664,2.51415500246578,2.7570388497539198,Correct,3.2331861684824803
4_5,4,838,3.3420662365297606,3.398971107174629,3.411171711215959,,3.0487452891456717,2.8992968692702683,3.08483367575314,3.0441090695201307,3.265803274025214,3.031853753950302,3.120424177039445,3.085172454330752,3.206647998186685,3.2442948932598026,3.0716446690858783,3.1492093007485797,3.1959941659356237,3.156701847697257,2.7608417985598286,2.9578674113788295,Correct,3.370518671852195
5_1,5,838,5.616721898660387,5.563256069725168,5.592553865061004,,5.163281734171604,5.265746039538977,5.297745300586291,5.297745300586291,5.198189579338741,5.005101046245422,4.911402064152737,5.059450487454364,5.21152168181814,5.25107296388133,5.078378012784638,4.901534057249321,5.139908322757195,4.905194962903916,4.90092630152052,4.902513709848016,Correct,5.589988984192777
5_2,5,838,4.636796222796186,4.6675849399985,4.563693503754883,,4.653929046000224,5.030456159463821,5.1512478836559845,4.386249225523891,3.060125939674683,4.433874344726903,5.379305418351505,5.251568183404023,5.364236496764259,5.249568247125256,5.278238864081273,5.205858165047944,4.936060589069601,5.338410164672945,5.189912341906967,4.9207591756729,Correct,4.652190581397344
5_3,5,838,5.797450039839182,5.7201935704415545,5.808268210408697,,5.982954231576005,5.74020807086788,5.689827617551587,5.700622463761327,5.618197274929347,5.735220333762538,5.449923474366581,5.52225930695393,5.493872900585681,5.599643211533607,5.563880061322836,5.562440809809354,5.562024336091084,5.5516421167465415,5.805966991744668,5.794523765498386,Correct,5.758821805140368
5_4,5,838,5.587567827915238,5.569985932219359,5.446771787763173,,5.336177897204929,5.320053381585847,5.6442573894735135,5.744302491764794,5.772912934250928,5.628752508420785,5.268159359689713,5.5938513781274395,5.520508406528971,5.38199315047607,4.979627540469152,5.520023782828497,5.519476912401936,5.4774605716061435,5.1101700057069035,5.174861918827635,Correct,5.5787768800672985
5_5,5,838,,,,6.008623450085941,5.94362209674283,5.819153884995603,5.821437867745776,5.88742421705091,5.733108160514857,5.8186199377511025,5.879977167031754,6.115965271106547,6.316295509534892,5.854898861419257,5.72893286630544,5.933232978920974,5.9852546248201675,6.113555749999278,5.8692012901344475,5.896506722408533,Correct,6.008623450085941
6_1,6,838,4.105608668510654,4.23640612215997,4.125903482432853,,4.3701998401747995,4.421678188127473,4.126318256025809,4.130521517475726,4.383546651670344,4.437959582528319,4.4120158725171486,4.3581438891036575,4.450141860774846,4.194768999559158,4.020492869464007,4.151089897536674,4.305491563642776,4.391921109988084,4.420859215144478,4.3410803949246155,Correct,4.171007395335312
6_2,6,838,4.786069409969688,4.691370327973119,4.302607925181995,,4.576691612249334,4.868344870464962,5.083528620577911,5.10856120510295,4.963329834193122,4.921752087199139,4.9994457989967644,5.053933312843116,4.932981992116601,5.03749662248514,4.911541605231053,4.994459419368301,4.852102413082554,4.956619342029922,4.8229156489557425,4.938699337076106,Correct,4.738719868971403
6_3,6,838,3.918851163336292,3.9719108881575456,4.131727939274591,,3.7233095550147213,3.9581770206872173,3.9601676771105856,3.76316804396697,3.9469698297079683,3.733618208879504,3.6567190252516664,3.5463556409792245,3.9947211772942373,3.9026709703157243,3.6118446841703067,3.6904632962814112,3.715215781728818,4.00302835553169,4.1668782867798955,4.020634254264908,Correct,3.9453810257469186
6_4,6,838,3.6862157293437607,3.4377204321651766,4.2030964875431165,,4.593960327223496,4.571391621381836,4.590723319606416,4.936307937010832,5.174060778099461,5.172314829912833,4.777135016743933,5.088895102238377,5.073259131682738,5.163516957023269,4.3606112535668515,4.180784943252431,4.708965122728651,4.999055502411737,5.018760209684512,5.058919402409535,Correct,3.5619680807544687
6_5,6,838,4.415351412744963,4.375694840398375,4.333081427131867,,4.43180596189776,4.368599407125733,4.529540400907463,4.754112579214667,4.771081557481396,4.66150613012337,4.80381171540482,4.766506938185765,4.638683720423314,4.917664202150784,4.69326547451928,4.636764834530425,5.064158484693174,5.266373483629703,5.064008693564114,4.6310591343446985,Correct,4.395523126571669
7_1,7,838,2.1903915556146543,2.140597544935761,2.0908858374301333,,1.9884814538451152,1.9923458044524167,1.9924990701734449,1.9924947651290161,1.9925623255067662,1.997249869714211,2.150513018866677,2.440119669487205,2.4431895052678003,2.4430338433777146,2.443019718677514,2.4430238106661153,2.4430642715520725,2.441769183555093,2.343205638514972,2.220555930874237,Correct,2.1654945502752074
7_2,7,838,2.333967796239772,2.2380062854288765,2.2093023664466807,,2.017929377341128,1.9267137176963294,1.9354242432632778,1.92235858666985,2.187550523210429,2.2678516412358896,2.067280763987847,1.9718890881791924,2.010626814381288,1.600820313187413,2.2758028025877337,1.6044306187680726,1.6026796877742064,2.205208670478938,2.107129191172881,2.1069395293696234,Correct,2.285987040834324
7_3,7,838,1.9878221445371873,1.988096110759859,1.985929402049209,,2.767311219664675,2.8387849233884097,2.841473948555943,2.8306753956100064,2.6106026560935724,1.602338856077148,1.6047749508391962,1.6059615782968322,1.6113695658318987,1.7279366006260608,2.547313241330182,2.9926695232187552,3.0354561654531715,2.938128417066713,2.8746561942576805,2.9887387449580203,Correct,1.9879591276485231
7_4,7,838,1.9946189711033764,1.9014604746154387,1.8955381161358789,,1.7739887124504268,1.7579965926618568,1.8047411862486014,1.8435824668794678,1.7610489872434216,1.7764053588125641,1.7809504921189068,1.9409102890853558,2.153702408562785,2.1653656608396092,1.9568077906929502,1.9018270720915371,2.148266267859408,2.035874203006381,2.339510870876535,2.196083826288556,Correct,1.9480397228594075
7_5,7,838,2.5003092091698145,2.5271899742106005,2.364623930738577,,2.4040206898798644,2.6437651802130566,2.4322573864133323,2.2318663768182345,2.068800592359823,2.304598674159888,2.0959476282796685,2.234017244519536,2.0127499933099235,2.2754319724722443,2.0658437734179635,2.253287258960515,2.2264272950858577,2.160126432651863,2.089884621294747,2.182377259024259,Correct,2.5137495916902077
8_1,8,838,2.991868390539045,2.9918090902636107,3.151378266815864,,2.6756608400156536,2.5823206555930955,2.7954248204816348,2.9352002124560532,3.0935719868757516,3.0108384568134094,2.511825261927324,2.705590484781986,3.110236809417195,3.2831893309666214,3.300202547234205,3.3585957641800945,3.383988771467858,3.072201318549747,2.7991872525472785,2.726211473311841,Correct,2.991838740401328
8_2,8,838,3.2289458226054144,3.1974292153266446,2.979602953216084,,2.7037100739745963,2.7788232144649636,3.106791489326912,2.822329548490642,3.027946789674172,3.3735373518286997,3.0174263275077333,2.572986454349639,2.9033997380169616,3.2547640922148156,3.1751258246990828,3.0802898346517313,3.181955516686134,3.1226810593685137,3.3389650646468616,3.5304015005779057,Correct,3.2131875189660297
8_3,8,838,1.8847639005114087,2.2406817726236774,2.3719523365599553,,2.2087060181572014,1.9877903478400556,2.082261265925454,2.282688640825499,2.2039522909559515,2.304546478944018,2.293437540850306,2.12886322501654,2.2977020670958908,2.2070578746481706,2.59890404612878,2.7415451188555107,2.492164008537697,2.2395421533368034,2.026026707025319,2.216748318456511,Correct,2.062722836567543
8_4,8,838,2.7155346850033757,2.8336007190574772,2.5457600197925703,,2.5140283811429174,2.7631042667376797,2.686905677370448,2.3913856172719132,2.579997654257919,2.557202470454088,2.53508844918078,2.348608782589393,2.158544620823976,2.4346815380232547,2.7900658079711556,2.728615333934918,2.58427892719878,2.270871901031773,2.4263003263450806,2.7523700405104803,Correct,2.7745677020304265
8_5,8,838,,,,3.7284614248302397,3.894848546887044,4.0401695078422515,3.7761749625585153,3.5925294383814212,3.544807600066209,3.756325162147248,3.673261083254237,3.1791580372567827,3.388754380407281,3.586687409547504,3.6868367051919453,3.8115691769675775,3.8902287643861784,3.617404052549329,3.6608427367805594,3.81228586053735,Correct,3.7284614248302397
9_1,9,838,2.5394927309912485,2.5441437670561364,2.3598577391141613,,2.458161560153928,2.534113512580783,2.5596355146343064,2.472784778318959,2.4388737394037747,2.3956867139435674,2.299438454274577,2.297180045530214,2.4110045604578563,2.7071059958912955,2.7293055276986617,2.6845663581209314,2.8556590405167763,2.895444368722538,2.6332963946610146,2.197682583260781,Correct,2.5418182490236925
9_2,9,838,2.432096672699651,2.663253149692036,2.773566919610132,,2.3766223380927007,2.0505482530914296,2.227978971917985,2.225391402055552,2.060380781926977,2.439013487921217,2.0694117485977337,2.2175821375192983,2.35426990207743,2.467770746964025,2.356674353918825,2.5446156020212958,1.979947906479224,2.0767262063202816,2.1671169744161256,2.1882070610163664,Correct,2.547674911195844
9_3,9,838,3.3433116791969844,3.408177083278857,3.538108915811718,,2.542083236064682,2.232163874601367,2.6405676484602023,2.4810758198879603,2.301022902194427,2.267310487710054,2.1397690298678427,2.1321767416157025,2.036341230876066,2.022368210480553,2.046392533350617,1.7077707952500831,1.5251854808363197,1.8775728363983144,1.9591557663170645,1.957153219955071,Correct,3.3757443812379204
9_4,9,838,,,,3.551303692601678,3.388458018040275,3.523819206755492,3.120149283224776,2.634399088320688,2.4533588258486834,2.8585891595255855,3.0272385447141454,3.0375535299664573,2.9412824902922208,3.078726440269284,3.0935472480559043,2.871819638947192,2.613059348646313,2.7488248381825424,2.712693020551347,2.746251164129362,Correct,3.551303692601678
9_5,9,838,2.1618150334273194,2.3717239284034988,2.501862045963962,,2.8837817696302537,2.6731683724667343,2.6297396125841197,2.6692403862209315,2.568452054870915,2.599495430415732,2.5577218863058384,2.3010374009556367,2.251845567155512,2.247228125707932,2.108279554111834,2.077509134385826,2.295797141695524,2.478166464505517,2.739587235871963,3.165217241619388,Correct,2.266769480915409
10_1,10,838,3.904937160944875,3.7231167763246074,3.657227440075272,,3.7813535890022822,3.632512547134231,3.8650918469413704,3.8609409100612018,3.7492006279356827,3.730290603038161,3.7329285378834602,3.9782692045320607,4.162260083624802,4.043437238096537,3.58642581233471,3.59370502564389,3.594110371492934,3.5907726284183212,3.4595095798283784,3.2671756436807855,Correct,3.8140269686347414
10_2,10,838,3.7723256200544943,3.6559553983617272,3.090678900899124,,3.7085942495883475,3.6199951051904153,3.357747274060244,3.644951111883817,3.323729302547053,3.785465755740566,3.5376051925110588,3.645599643859406,3.6103417477576016,3.8503710988543554,3.4323941443276578,3.856979798297981,3.2661101440501428,3.66371579375797,3.76504946521213,3.7530491530867938,Correct,3.714140509208111
10_3,10,838,3.074238716990603,3.3961128683118846,3.2509123251740375,,2.7786713039191966,2.8715051230693702,3.0678568433770117,2.953846211728067,3.4466129266420302,3.1959221128407633,3.0989720250582855,3.012592261325429,2.990160552146663,3.3985245980472576,3.3613484433116505,3.3161536894836035,2.9365102832352354,2.9352079358383945,3.0431185366633486,3.264475451718113,Correct,3.235175792651244
10_4,10,838,3.0666833657428656,3.357297511169416,3.427531222231845,,3.5831460872992325,3.2229485101042448,3.4195684864685596,3.3483634288243174,3.6759553992030356,3.4823561196188946,3.3880480688302073,3.426253979366369,3.4609187235026164,3.4382821375304875,3.218377738594814,3.4639623627984464,3.44681415430749,3.7506414240048316,3.504031817759476,3.0922549633963374,Correct,3.211990438456141
10_5,10,838,3.675112420364585,3.986032375565176,3.6679465127756568,,3.4137240657811625,3.3126156961905244,3.602905760891146,3.749594453107215,3.8307876018091136,3.758784169710776,3.2184321341355573,3.0289381348257316,3.160789365798266,3.3684471367695425,3.154593872728348,3.491525812412077,3.5080879417832445,3.690737431611051,3.2289922153312833,3.5793059600737944,Correct,3.8305723979648807
11_1,11,838,3.1564130785407327,3.0355354248391557,2.7684491470491235,,2.5576035140818822,2.7745706066963893,2.709286979784044,2.628879601216061,2.488949049698065,2.578103880909657,2.577126791773381,2.629694513789548,2.746813040744526,2.719002190297948,2.752237602155078,2.685901265559821,3.0237458659728227,2.8982206922291907,3.168613282298435,3.2140711449323995,Correct,3.0959742516899444
11_2,11,838,3.742082306744489,3.6234566835144206,3.3210987086272614,,3.663876342070065,3.720152375710112,3.501516613890644,3.1576426822771135,3.098343172146368,3.472493591222024,3.469714629450329,3.011633656664116,3.3188114447326473,3.5766868251739727,3.654146512247319,3.6620150695220555,3.366846160463659,3.3686482446952426,3.474625482272347,3.2959876588607133,Correct,3.6827694951294547
11_3,11,838,3.3203979474535212,3.284798388406686,3.0548380296362345,,2.7663520858194595,2.8746586287790925,3.260720815661826,3.187001441703706,3.092423756552837,3.1084927053152516,3.3378560863114926,3.3417825014646647,3.1985548440608498,3.5151459723551173,3.2421190787147105,3.331410966050801,3.3881579857884945,3.502782423177212,3.4731279100307346,3.3030122051376885,Correct,3.3025981679301033
11_4,11,838,3.539357015204616,3.3411710176020986,3.2117125249505967,,3.2381550998203372,3.376085596189146,3.2009514435371704,3.162229223942186,2.834572928358196,2.8350312084836564,2.8174048601108,3.363542501557093,3.3429622026853227,3.3436220002820622,3.2037933985057463,3.1279188216972504,3.5153195709229044,3.3433343314609427,2.9256745662819967,3.0854217303810483,Correct,3.4402640164033573
11_5,11,838,2.819254869616091,2.8411405171319224,3.11510550111267,,2.4019950716323666,2.509544523397765,2.5370476011989345,2.5413208229920485,2.5414177293485762,2.5414215192634204,2.541442264350416,2.541985920665594,2.550993808658541,2.6178015283382665,2.617218644905246,2.6171384715850983,2.6171273980194005,2.617035210211586,2.618393003614991,2.6540566999191757,Correct,2.8301976933740067
12_1,12,838,2.835242726420442,2.9304434119108684,1.8307880210417695,,2.6883989904477326,2.730547355540398,1.5320657633407762,2.402949460762849,2.5681799598662596,2.5393098423251548,2.538585414702563,2.5385041512591835,2.515552535009462,3.002572939639312,2.979824582384613,2.9791086643017985,2.973152445092485,2.8131078237019116,2.5370273606214133,2.534102111739252,Correct,2.8828430691656552
12_2,12,838,2.3238147178461,2.422520225160562,2.5109518959822803,,2.540659995938296,2.5382437612287294,2.5372371060355956,2.911226053842971,2.9146637663898707,2.9098593894950993,2.7718044850491688,2.4874625966255657,2.48270837469581,2.390587296730996,2.3795946734998332,2.6864079460146617,2.725288133130092,2.706319641267276,2.880489649722751,2.748577012839787,Correct,2.373167471503331
